"","Country.Territory","Status_2002","PR.Rating_2002","CL.Rating_2002","PR.Aggr_2002","CL.Aggr_2002","Status_2003","PR.Rating_2003","CL.Rating_2003","PR.Aggr_2003","CL.Aggr_2003","Status_2004","PR.Rating_2004","CL.Rating_2004","PR.Aggr_2004","CL.Aggr_2004","Status_2005","PR.Rating_2005","CL.Rating_2005","PR.Aggr_2005","CL.Aggr_2005","Total.Aggr_2005","Status_2006","PR.Rating_2006","CL.Rating_2006","PR.Aggr_2006","CL.Aggr_2006","Total.Aggr_2006","Status_2007","PR.Rating_2007","CL.Rating_2007","PR.Aggr_2007","CL.Aggr_2007","Total.Aggr_2007","Status_2008","PR.Rating_2008","CL.Rating_2008","PR.Aggr_2008","CL.Aggr_2008","Total.Aggr_2008","Status_2009","PR.Rating_2009","CL.Rating_2009","PR.Aggr_2009","CL.Aggr_2009","Total.Aggr_2009","Status_2010","PR.Rating_2010","CL.Rating_2010","PR.Aggr_2010","CL.Aggr_2010","Total.Aggr_2010","Status_2011","PR.Rating_2011","CL.Rating_2011","PR.Aggr_2011","CL.Aggr_2011","Total.Aggr_2011","Status_2012","PR.Rating_2012","CL.Rating_2012","PR.Aggr_2012","CL.Aggr_2012","Total.Aggr_2012","Status_2013","PR.Rating_2013","CL.Rating_2013","PR.Aggr_2013","CL.Aggr_2013","Total.Aggr_2013","Status_2014","PR.Rating_2014","CL.Rating_2014","PR.Aggr_2014","CL.Aggr_2014","Total.Aggr_2014","Status_2015","PR.Rating_2015","CL.Rating_2015","PR.Aggr_2015","CL.Aggr_2015","Total.Aggr_2015","Status_2016","PR.Rating_2016","CL.Rating_2016","PR.Aggr_2016","CL.Aggr_2016","Total.Aggr_2016","Status_2017","PR.Rating_2017","CL.Rating_2017","PR.Aggr_2017","CL.Aggr_2017","Total.Aggr_2017"
"11","Austria","F",1,1,40,58,"F",1,1,40,59,"F",1,1,40,59,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,40,58,98,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,37,58,95,"F",1,1,37,58,95,"F",1,1,37,57,94
"12","Azerbaijan","NF",6,5,11,24,"NF",6,5,11,24,"NF",6,5,11,22,"NF",6,5,10,23,33,"NF",6,5,10,22,32,"NF",6,5,10,21,31,"NF",6,5,8,21,29,"NF",6,5,8,21,29,"NF",6,5,7,21,28,"NF",6,5,6,17,23,"NF",6,5,6,17,23,"NF",6,6,6,16,22,"NF",6,6,6,14,20,"NF",7,6,5,11,16,"NF",7,6,4,10,14,"NF",7,6,3,9,12
"13","Bahamas","F",1,1,37,57,"F",1,1,37,57,"F",1,1,37,57,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,54,92,"F",1,1,38,53,91,"F",1,1,38,53,91
"14","Bahrain","PF",5,5,13,21,"PF",5,5,12,21,"PF",5,5,12,21,"PF",5,5,14,22,36,"PF",5,5,16,20,36,"PF",5,5,15,22,37,"PF",5,5,13,21,34,"NF",6,5,11,21,32,"NF",6,5,11,19,30,"NF",6,6,8,12,20,"NF",6,6,6,12,18,"NF",6,6,6,10,16,"NF",7,6,5,10,15,"NF",7,6,4,10,14,"NF",7,6,2,10,12,"NF",7,6,2,10,12
"15","Bangladesh","PF",4,4,21,33,"PF",4,4,21,33,"PF",4,4,22,32,"PF",4,4,22,31,53,"PF",4,4,22,31,53,"PF",5,4,12,28,40,"PF",4,4,22,30,52,"PF",3,4,26,33,59,"PF",3,4,26,34,60,"PF",3,4,25,33,58,"PF",3,4,25,31,56,"PF",3,4,24,29,53,"PF",4,4,21,29,50,"PF",4,4,21,28,49,"PF",4,4,20,27,47,"PF",4,4,19,26,45
"16","Barbados","F",1,1,39,59,"F",1,1,39,59,"F",1,1,39,59,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,58,98,"F",1,1,40,57,97,"F",1,1,38,58,96
"17","Belarus","NF",6,6,9,15,"NF",6,6,7,14,"NF",7,6,5,14,"NF",7,6,5,10,15,"NF",7,6,4,10,14,"NF",7,6,3,10,13,"NF",7,6,4,11,15,"NF",7,6,4,11,15,"NF",7,6,4,11,15,"NF",7,6,4,10,14,"NF",7,6,4,10,14,"NF",7,6,4,10,14,"NF",7,6,4,10,14,"NF",7,6,4,13,17,"NF",7,6,5,15,20,"NF",6,6,6,15,21
"18","Belgium","F",1,1,39,56,"F",1,1,40,59,"F",1,1,39,59,"F",1,1,39,58,97,"F",1,1,40,58,98,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,40,58,98,"F",1,1,39,58,97,"F",1,1,40,58,98,"F",1,1,40,57,97,"F",1,1,40,57,97,"F",1,1,40,57,97,"F",1,1,40,56,96,"F",1,1,40,55,95,"F",1,1,39,56,95
"19","Belize","F",1,2,37,52,"F",1,2,37,51,"F",1,2,37,52,"F",1,2,36,52,88,"F",1,2,36,51,87,"F",1,2,36,51,87,"F",1,2,36,51,87,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,36,51,87,"F",1,2,36,51,87,"F",1,2,36,51,87,"F",1,2,36,51,87,"F",1,2,36,50,86
"20","Benin","F",3,2,27,48,"F",2,2,30,49,"F",2,2,30,49,"F",2,2,30,48,78,"F",2,2,33,49,82,"F",2,2,33,49,82,"F",2,2,32,48,80,"F",2,2,32,48,80,"F",2,2,33,50,83,"F",2,2,32,49,81,"F",2,2,32,50,82,"F",2,2,32,48,80,"F",2,2,32,49,81,"F",2,2,33,49,82,"F",2,2,33,49,82,"F",2,2,33,49,82
"21","Bhutan","NF",6,5,7,17,"NF",6,5,6,17,"NF",6,5,8,18,"NF",6,5,9,20,29,"NF",6,5,10,21,31,"NF",6,5,11,23,34,"PF",4,5,19,24,43,"PF",4,5,19,24,43,"PF",4,5,19,24,43,"PF",4,5,19,24,43,"PF",4,5,22,24,46,"PF",3,4,28,27,55,"PF",3,4,29,27,56,"PF",3,4,29,27,56,"PF",3,4,28,27,55,"PF",3,4,28,27,55
"22","Bolivia","F",2,3,31,43,"PF",3,3,28,42,"PF",3,3,29,43,"PF",3,3,28,43,71,"PF",3,3,28,43,71,"PF",3,3,29,41,70,"PF",3,3,28,40,68,"PF",3,3,28,40,68,"PF",3,3,27,39,66,"PF",3,3,28,38,66,"PF",3,3,29,40,69,"PF",3,3,29,38,67,"PF",3,3,29,39,68,"PF",3,3,29,39,68,"PF",3,3,29,39,68,"PF",3,3,28,39,67
"23","Bosnia and Herzegovina","PF",4,4,19,31,"PF",4,4,22,34,"PF",4,3,22,37,"PF",4,3,23,39,62,"PF",3,3,25,39,64,"PF",4,3,23,39,62,"PF",4,3,23,38,61,"PF",4,3,23,38,61,"PF",4,3,23,37,60,"PF",4,3,23,37,60,"PF",3,3,25,37,62,"PF",3,3,24,37,61,"PF",4,3,23,37,60,"PF",4,3,22,35,57,"PF",4,4,21,34,55,"PF",4,4,21,34,55
"24","Botswana","F",2,2,34,48,"F",2,2,34,48,"F",2,2,34,48,"F",2,2,31,47,78,"F",2,2,31,47,78,"F",2,2,31,48,79,"F",2,2,30,48,78,"F",3,2,29,46,75,"F",3,2,29,46,75,"F",3,2,29,46,75,"F",3,2,28,46,74,"F",3,2,28,46,74,"F",3,2,28,45,73,"F",3,2,28,45,73,"F",3,2,28,44,72,"F",3,2,28,44,72
"25","Brazil","F",2,3,32,41,"F",2,3,32,42,"F",2,3,32,43,"F",2,2,32,45,77,"F",2,2,31,45,76,"F",2,2,31,45,76,"F",2,2,32,45,77,"F",2,2,32,45,77,"F",2,2,32,46,78,"F",2,2,33,47,80,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,33,48,81,"F",2,2,31,48,79,"F",2,2,31,47,78
"26","Brunei","NF",6,5,6,25,"NF",6,5,7,23,"NF",6,5,7,24,"NF",6,5,6,23,29,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,23,30,"NF",6,5,7,22,29,"NF",6,5,7,22,29,"NF",6,5,6,22,28
"27","Bulgaria","F",1,2,36,50,"F",1,2,36,50,"F",1,2,36,51,"F",1,2,36,51,87,"F",1,2,36,49,85,"F",1,2,36,49,85,"F",2,2,35,47,82,"F",2,2,35,47,82,"F",2,2,35,47,82,"F",2,2,34,47,81,"F",2,2,34,47,81,"F",2,2,31,47,78,"F",2,2,33,46,79,"F",2,2,33,47,80,"F",2,2,33,47,80,"F",2,2,33,47,80
"28","Burkina Faso","PF",4,4,20,34,"PF",4,4,19,33,"PF",5,4,17,34,"PF",5,3,17,36,53,"PF",5,3,17,37,54,"PF",5,3,17,36,53,"PF",5,3,17,35,52,"PF",5,3,17,35,52,"PF",5,3,17,36,53,"PF",5,3,16,35,51,"PF",5,3,17,36,53,"PF",5,3,17,36,53,"PF",6,3,9,36,45,"PF",4,3,21,38,59,"PF",4,3,23,40,63,"PF",4,3,23,37,60
"29","Burundi","NF",6,5,9,18,"PF",5,5,12,17,"PF",5,5,12,17,"PF",3,5,25,24,49,"PF",4,5,22,23,45,"PF",4,5,22,23,45,"PF",4,5,20,23,43,"PF",4,5,22,23,45,"PF",5,5,13,22,35,"PF",5,5,13,22,35,"PF",5,5,12,22,34,"PF",5,5,12,22,34,"NF",6,5,11,21,32,"NF",7,6,5,14,19,"NF",7,6,5,14,19,"NF",7,6,4,14,18
"30","Cambodia","NF",6,5,11,20,"NF",6,5,9,23,"NF",6,5,11,23,"NF",6,5,11,24,35,"NF",6,5,11,24,35,"NF",6,5,11,24,35,"NF",6,5,11,23,34,"NF",6,5,11,21,32,"NF",6,5,9,20,29,"NF",6,5,9,21,30,"NF",6,5,9,20,29,"NF",6,5,10,20,30,"NF",6,5,11,20,31,"NF",6,5,11,21,32,"NF",6,5,11,20,31,"NF",6,5,10,20,30
"31","Cameroon","NF",6,6,7,15,"NF",6,6,7,14,"NF",6,6,11,16,"NF",6,6,11,16,27,"NF",6,6,11,16,27,"NF",6,6,9,16,25,"NF",6,6,8,15,23,"NF",6,6,8,16,24,"NF",6,6,7,16,23,"NF",6,6,7,16,23,"NF",6,6,7,16,23,"NF",6,6,8,16,24,"NF",6,6,9,16,25,"NF",6,6,9,15,24,"NF",6,6,9,15,24,"NF",6,6,9,13,22
"32","Canada","F",1,1,39,57,"F",1,1,40,59,"F",1,1,39,59,"F",1,1,39,59,98,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,39,58,97,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,58,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99
"33","Cape Verde","F",1,2,37,52,"F",1,1,37,53,"F",1,1,37,53,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90
"34","Central African Republic","PF",5,5,17,23,"NF",7,5,5,25,"NF",6,5,9,24,"PF",5,4,17,27,44,"PF",5,4,17,26,43,"PF",5,5,17,23,40,"PF",5,5,17,23,40,"PF",5,5,17,22,39,"PF",5,5,15,22,37,"PF",5,5,17,22,39,"PF",5,5,16,19,35,"NF",7,7,0,6,6,"NF",7,7,0,6,6,"NF",7,7,1,6,7,"NF",7,7,4,6,10,"NF",7,7,4,5,9
"35","Chad","NF",6,5,8,18,"NF",6,5,8,18,"NF",6,5,8,18,"NF",6,5,8,18,26,"NF",6,6,6,16,22,"NF",7,6,5,15,20,"NF",7,6,5,15,20,"NF",7,6,5,15,20,"NF",7,6,5,16,21,"NF",7,6,5,16,21,"NF",7,6,5,16,21,"NF",7,6,5,16,21,"NF",7,6,5,16,21,"NF",7,6,4,16,20,"NF",7,6,4,14,18,"NF",7,6,4,14,18
