"","Country.Territory","Status_2002","PR.Rating_2002","CL.Rating_2002","PR.Aggr_2002","CL.Aggr_2002","Status_2003","PR.Rating_2003","CL.Rating_2003","PR.Aggr_2003","CL.Aggr_2003","Status_2004","PR.Rating_2004","CL.Rating_2004","PR.Aggr_2004","CL.Aggr_2004","Status_2005","PR.Rating_2005","CL.Rating_2005","PR.Aggr_2005","CL.Aggr_2005","Total.Aggr_2005","Status_2006","PR.Rating_2006","CL.Rating_2006","PR.Aggr_2006","CL.Aggr_2006","Total.Aggr_2006","Status_2007","PR.Rating_2007","CL.Rating_2007","PR.Aggr_2007","CL.Aggr_2007","Total.Aggr_2007","Status_2008","PR.Rating_2008","CL.Rating_2008","PR.Aggr_2008","CL.Aggr_2008","Total.Aggr_2008","Status_2009","PR.Rating_2009","CL.Rating_2009","PR.Aggr_2009","CL.Aggr_2009","Total.Aggr_2009","Status_2010","PR.Rating_2010","CL.Rating_2010","PR.Aggr_2010","CL.Aggr_2010","Total.Aggr_2010","Status_2011","PR.Rating_2011","CL.Rating_2011","PR.Aggr_2011","CL.Aggr_2011","Total.Aggr_2011","Status_2012","PR.Rating_2012","CL.Rating_2012","PR.Aggr_2012","CL.Aggr_2012","Total.Aggr_2012","Status_2013","PR.Rating_2013","CL.Rating_2013","PR.Aggr_2013","CL.Aggr_2013","Total.Aggr_2013","Status_2014","PR.Rating_2014","CL.Rating_2014","PR.Aggr_2014","CL.Aggr_2014","Total.Aggr_2014","Status_2015","PR.Rating_2015","CL.Rating_2015","PR.Aggr_2015","CL.Aggr_2015","Total.Aggr_2015","Status_2016","PR.Rating_2016","CL.Rating_2016","PR.Aggr_2016","CL.Aggr_2016","Total.Aggr_2016","Status_2017","PR.Rating_2017","CL.Rating_2017","PR.Aggr_2017","CL.Aggr_2017","Total.Aggr_2017"
"51","Dominica","F",1,1,39,55,"F",1,1,38,53,"F",1,1,38,53,"F",1,1,38,54,92,"F",1,1,38,54,92,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,37,56,93
"52","Dominican Republic","F",2,2,30,48,"F",3,2,27,46,"F",2,2,32,46,"F",2,2,32,46,78,"F",2,2,33,47,80,"F",2,2,33,47,80,"F",2,2,33,48,81,"F",2,2,33,45,78,"F",2,2,31,45,76,"F",2,2,31,44,75,"F",2,2,31,44,75,"F",2,3,30,43,73,"F",2,3,30,43,73,"PF",3,3,29,41,70,"PF",3,3,27,41,68,"PF",3,3,26,41,67
"53","Ecuador","PF",3,3,24,40,"PF",3,3,27,40,"PF",3,3,27,41,"PF",3,3,27,41,68,"PF",3,3,28,41,69,"PF",3,3,27,42,69,"PF",3,3,29,40,69,"PF",3,3,29,39,68,"PF",3,3,28,39,67,"PF",3,3,27,36,63,"PF",3,3,24,36,60,"PF",3,3,24,36,60,"PF",3,3,24,35,59,"PF",3,3,24,35,59,"PF",3,4,24,33,57,"PF",3,3,25,35,60
"54","Egypt","NF",6,6,7,16,"NF",6,6,7,16,"NF",6,5,7,18,"NF",6,5,8,22,30,"NF",6,5,7,20,27,"NF",6,5,7,18,25,"NF",6,5,7,18,25,"NF",6,5,7,20,27,"NF",6,5,6,19,25,"NF",6,5,11,24,35,"PF",5,5,16,25,41,"NF",6,5,9,22,31,"NF",6,5,8,18,26,"NF",6,5,9,18,27,"NF",6,5,9,17,26,"NF",6,6,10,16,26
"55","El Salvador","F",2,3,32,43,"F",2,3,30,43,"F",2,3,30,43,"F",2,3,32,43,75,"F",2,3,33,41,74,"F",2,3,33,40,73,"F",2,3,33,40,73,"F",2,3,34,40,74,"F",2,3,34,41,75,"F",2,3,35,41,76,"F",2,3,35,42,77,"F",2,3,35,42,77,"F",2,3,35,40,75,"F",2,3,33,36,69,"F",2,3,34,36,70,"F",2,3,34,36,70
"56","Equatorial Guinea","NF",7,6,3,14,"NF",7,6,3,14,"NF",7,6,2,13,"NF",7,6,1,9,10,"NF",7,6,1,9,10,"NF",7,6,1,9,10,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,6,7
"57","Eritrea","NF",7,6,3,12,"NF",7,6,3,12,"NF",7,6,3,11,"NF",7,6,3,11,14,"NF",7,6,3,10,13,"NF",7,6,3,10,13,"NF",7,6,3,10,13,"NF",7,7,3,5,8,"NF",7,7,2,5,7,"NF",7,7,2,4,6,"NF",7,7,1,2,3,"NF",7,7,1,2,3,"NF",7,7,1,2,3,"NF",7,7,1,2,3,"NF",7,7,1,2,3,"NF",7,7,1,2,3
"58","Estonia","F",1,2,37,50,"F",1,2,37,52,"F",1,1,38,55,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,38,56,94,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,38,56,94,"F",1,1,38,56,94,"F",1,1,38,56,94
"59","Ethiopia","PF",5,5,12,20,"PF",5,5,12,20,"PF",5,5,12,21,"PF",5,5,15,21,36,"PF",5,5,14,20,34,"PF",5,5,13,20,33,"PF",5,5,13,20,33,"PF",5,5,13,18,31,"NF",6,6,8,13,21,"NF",6,6,7,12,19,"NF",6,6,7,11,18,"NF",6,6,7,11,18,"NF",6,6,7,11,18,"NF",7,6,4,11,15,"NF",7,6,4,8,12,"NF",7,6,4,8,12
"60","Fiji","PF",4,3,22,41,"PF",4,3,21,41,"PF",4,3,20,41,"PF",4,3,20,42,62,"PF",6,4,7,31,38,"PF",6,4,7,32,39,"PF",6,4,7,31,38,"PF",6,4,7,31,38,"PF",6,4,7,30,37,"PF",6,4,7,28,35,"PF",6,4,7,30,37,"PF",6,4,7,30,37,"PF",3,4,26,34,60,"PF",3,3,27,35,62,"PF",3,4,25,34,59,"PF",3,3,24,35,59
"61","Finland","F",1,1,40,59,"F",1,1,38,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100
"62","France","F",1,1,39,56,"F",1,1,38,57,"F",1,1,38,57,"F",1,1,38,55,93,"F",1,1,38,56,94,"F",1,1,38,55,93,"F",1,1,38,58,96,"F",1,1,38,58,96,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,57,95,"F",1,1,38,53,91,"F",1,2,38,52,90,"F",1,2,38,52,90
"63","Gabon","PF",5,4,16,34,"PF",5,4,13,32,"PF",5,4,13,31,"PF",6,4,10,30,40,"PF",6,4,10,27,37,"PF",6,4,10,27,37,"PF",6,4,10,26,36,"NF",6,5,9,25,34,"NF",6,5,9,25,34,"NF",6,5,9,25,34,"NF",6,5,9,25,34,"NF",6,5,9,25,34,"NF",6,5,9,25,34,"NF",6,5,9,25,34,"NF",6,5,8,24,32,"NF",7,5,4,19,23
"64","Georgia","PF",4,4,19,32,"PF",4,4,21,32,"PF",3,4,24,34,"PF",3,3,24,37,61,"PF",3,3,25,37,62,"PF",4,4,20,34,54,"PF",4,4,18,33,51,"PF",4,4,20,34,54,"PF",4,3,20,36,56,"PF",4,3,22,36,58,"PF",3,3,24,36,60,"PF",3,3,25,38,63,"PF",3,3,26,38,64,"PF",3,3,27,37,64,"PF",3,3,27,37,64,"PF",3,3,26,38,64
"65","Germany","F",1,1,38,56,"F",1,1,40,58,"F",1,1,40,59,"F",1,1,39,58,97,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,56,95,"F",1,1,39,56,95,"F",1,1,39,55,94
"66","Ghana","F",2,3,31,41,"F",2,2,33,44,"F",2,2,35,47,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,46,83,"F",1,2,37,46,83,"F",1,2,37,46,83
"67","Greece","F",1,2,36,45,"F",1,2,36,50,"F",1,2,37,52,"F",1,2,37,51,88,"F",1,2,37,52,89,"F",1,2,37,52,89,"F",1,2,37,51,88,"F",1,2,36,50,86,"F",1,2,36,50,86,"F",2,2,35,50,85,"F",2,2,35,48,83,"F",2,2,35,48,83,"F",2,2,35,48,83,"F",2,2,35,48,83,"F",2,2,35,49,84,"F",2,2,35,50,85
"68","Grenada","F",1,2,36,50,"F",1,2,36,50,"F",1,2,36,50,"F",1,2,37,50,87,"F",1,2,37,49,86,"F",1,2,37,51,88,"F",1,2,38,52,90,"F",1,2,38,52,90,"F",1,2,38,51,89,"F",1,2,38,51,89,"F",1,2,38,51,89,"F",1,2,38,51,89,"F",1,2,38,51,89,"F",1,2,38,51,89,"F",1,2,38,51,89,"F",1,2,37,51,88
"69","Guatemala","PF",4,4,22,33,"PF",4,4,21,30,"PF",4,4,22,30,"PF",4,4,22,33,55,"PF",3,4,24,33,57,"PF",3,4,24,33,57,"PF",3,4,24,33,57,"PF",4,4,23,33,56,"PF",4,4,23,34,57,"PF",3,4,24,34,58,"PF",3,4,24,33,57,"PF",3,4,24,32,56,"PF",3,4,24,31,55,"PF",4,4,23,31,54,"PF",4,4,23,31,54,"PF",4,4,23,33,56
"70","Guinea","NF",6,5,11,22,"NF",6,5,11,25,"NF",6,5,9,22,"NF",6,5,9,23,32,"NF",6,5,9,23,32,"NF",6,5,10,23,33,"NF",7,5,5,23,28,"NF",7,6,2,13,15,"PF",5,5,14,22,36,"PF",5,5,14,20,34,"PF",5,5,15,24,39,"PF",5,5,17,24,41,"PF",5,5,17,24,41,"PF",5,5,17,23,40,"PF",5,5,17,24,41,"PF",5,5,17,24,41
"71","Guinea-Bissau","PF",4,5,21,25,"PF",6,4,6,28,"PF",4,4,20,30,"PF",3,4,25,34,59,"PF",4,4,22,33,55,"PF",4,4,21,30,51,"PF",4,4,21,29,50,"PF",4,4,21,27,48,"PF",4,4,18,27,45,"PF",4,4,18,27,45,"NF",6,5,7,23,30,"NF",6,5,9,23,32,"PF",5,5,17,23,40,"PF",5,5,16,23,39,"PF",5,5,16,24,40,"PF",5,5,16,25,41
"72","Guyana","F",2,2,30,45,"F",2,2,30,45,"F",2,2,31,44,"PF",3,3,29,41,70,"F",2,3,31,42,73,"F",2,3,31,42,73,"F",2,3,31,42,73,"F",2,3,31,41,72,"F",2,3,31,41,72,"F",2,3,31,41,72,"F",2,3,31,40,71,"F",2,3,31,41,72,"F",2,3,30,41,71,"F",2,3,32,42,74,"F",2,3,32,42,74,"F",2,3,32,42,74
"73","Haiti","NF",6,6,9,16,"NF",6,6,9,12,"NF",7,6,5,14,"NF",7,6,5,16,21,"PF",4,5,20,22,42,"PF",4,5,22,25,47,"PF",4,5,22,25,47,"PF",4,5,22,25,47,"PF",4,5,20,25,45,"PF",4,5,20,25,45,"PF",4,5,19,24,43,"PF",4,5,18,25,43,"PF",5,5,17,24,41,"PF",5,5,17,24,41,"PF",5,5,15,24,39,"PF",5,5,17,24,41
"74","Honduras","PF",3,3,27,41,"PF",3,3,26,40,"PF",3,3,26,40,"PF",3,3,26,40,66,"PF",3,3,25,37,62,"PF",3,3,25,36,61,"PF",3,3,25,35,60,"PF",4,4,18,33,51,"PF",4,4,19,33,52,"PF",4,4,19,33,52,"PF",4,4,18,33,51,"PF",4,4,20,31,51,"PF",4,4,20,29,49,"PF",4,4,19,26,45,"PF",4,4,19,27,46,"PF",4,4,20,26,46
"75","Hong Kong*","PF",5,3,17,43,"PF",5,3,17,43,"PF",5,2,16,48,"PF",5,2,16,51,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Hungary","F",1,2,37,52,"F",1,2,37,52,"F",1,1,37,55,"F",1,1,37,56,93,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,55,92,"F",1,1,37,54,91,"F",1,1,37,53,90,"F",1,2,36,52,88,"F",1,2,36,52,88,"F",1,2,36,52,88,"F",2,2,32,50,82,"F",2,2,32,47,79,"F",3,2,29,47,76,"F",3,2,28,44,72
"77","Iceland","F",1,1,40,58,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,59,99,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,39,60,99,"F",1,1,40,60,100,"F",1,1,38,59,97,"F",1,1,37,58,95
"78","India","F",2,3,31,40,"F",2,3,33,41,"F",2,3,34,42,"F",2,3,34,42,76,"F",2,3,34,42,76,"F",2,3,34,42,76,"F",2,3,34,42,76,"F",2,3,34,42,76,"F",2,3,34,42,76,"F",2,3,34,43,77,"F",2,3,34,42,76,"F",2,3,34,43,77,"F",2,3,35,43,78,"F",2,3,35,42,77,"F",2,3,35,42,77,"F",2,3,35,42,77
"79","Indian Kashmir*","PF",5,5,17,21,"PF",5,5,15,23,"PF",5,5,15,25,"PF",5,5,15,25,40,"PF",5,5,15,25,40,"PF",5,4,15,26,41,"PF",5,4,17,26,43,"PF",4,4,20,26,46,"PF",4,5,20,25,45,"PF",4,4,20,28,48,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,22,29,51,"PF",4,4,22,29,51,"PF",4,4,22,28,50,"PF",4,4,22,27,49
"80","Indonesia","PF",3,4,26,32,"PF",3,4,25,34,"PF",3,4,29,34,"F",2,3,30,35,65,"F",2,3,30,35,65,"F",2,3,30,37,67,"F",2,3,30,36,66,"F",2,3,30,35,65,"F",2,3,30,35,65,"F",2,3,30,35,65,"F",2,3,30,35,65,"PF",2,4,30,34,64,"PF",2,4,30,34,64,"PF",2,4,31,34,65,"PF",2,4,31,34,65,"PF",2,4,30,34,64
"81","Iran","NF",6,6,10,16,"NF",6,6,10,15,"NF",6,6,10,15,"NF",6,6,9,15,24,"NF",6,6,10,13,23,"NF",6,6,10,14,24,"NF",6,6,9,13,22,"NF",6,6,7,13,20,"NF",6,6,6,11,17,"NF",6,6,6,10,16,"NF",6,6,6,10,16,"NF",6,6,7,10,17,"NF",6,6,7,10,17,"NF",6,6,7,10,17,"NF",6,6,7,10,17,"NF",6,6,7,11,18
"82","Iraq","NF",7,7,-2,1,"NF",7,5,5,18,"NF",7,5,5,19,"NF",6,5,9,19,28,"NF",6,6,11,11,22,"NF",6,6,11,12,23,"NF",6,6,11,13,24,"NF",5,6,12,14,26,"NF",5,6,12,13,25,"NF",5,6,12,13,25,"NF",6,6,11,13,24,"NF",5,6,12,13,25,"NF",6,6,11,13,24,"NF",5,6,12,15,27,"NF",5,6,12,15,27,"NF",5,6,16,15,31
"83","Ireland","F",1,1,38,55,"F",1,1,40,58,"F",1,1,40,58,"F",1,1,40,58,98,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,58,97,"F",1,1,39,57,96,"F",1,1,39,57,96,"F",1,1,39,57,96
"84","Israel","F",1,3,40,43,"F",1,3,38,43,"F",1,3,38,43,"F",1,2,37,46,83,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,37,47,84,"F",1,2,36,46,82,"F",1,2,36,47,83,"F",1,2,36,45,81,"F",1,2,36,45,81,"F",1,2,36,45,81,"F",1,2,36,44,80,"F",1,2,36,44,80,"F",1,2,36,44,80,"F",1,3,36,43,79
"85","Israeli Occupied Territories*","NF",7,6,4,15,"NF",6,6,7,16,"NF",6,6,6,16,"NF",6,5,6,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Italy","F",1,1,38,54,"F",1,1,38,54,"F",1,1,38,53,"F",1,1,39,53,92,"F",1,1,38,54,92,"F",1,1,38,54,92,"F",1,2,38,52,90,"F",1,2,37,52,89,"F",1,2,37,52,89,"F",1,1,36,53,89,"F",2,1,35,53,88,"F",1,1,37,53,90,"F",1,1,36,53,89,"F",1,1,36,53,89,"F",1,1,36,53,89,"F",1,1,36,53,89
"87","Jamaica","F",2,3,30,43,"F",2,3,30,43,"F",2,3,30,42,"F",2,3,31,43,74,"F",2,3,31,43,74,"F",2,3,34,43,77,"F",2,3,34,41,75,"F",2,3,34,41,75,"F",2,3,33,40,73,"F",2,3,33,40,73,"F",2,3,33,40,73,"F",2,3,34,40,74,"F",2,3,34,40,74,"F",2,3,34,41,75,"F",2,3,34,41,75,"F",2,3,34,43,77
"88","Japan","F",1,2,36,52,"F",1,2,36,52,"F",1,2,37,52,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,2,37,51,88,"F",1,1,37,53,90,"F",1,1,39,55,94,"F",1,1,40,56,96,"F",1,1,40,56,96,"F",1,1,40,56,96
"89","Jordan","NF",6,5,10,25,"PF",5,5,12,25,"PF",5,4,12,27,"PF",5,4,15,27,42,"PF",5,4,14,28,42,"PF",5,4,13,28,41,"PF",5,5,13,25,38,"NF",6,5,10,24,34,"NF",6,5,10,24,34,"NF",6,5,10,25,35,"NF",6,5,10,24,34,"NF",6,5,11,24,35,"NF",6,5,11,25,36,"NF",6,5,11,25,36,"PF",5,5,12,25,37,"PF",5,5,12,25,37
"90","Kazakhstan","NF",6,5,8,21,"NF",6,5,8,20,"NF",6,5,9,22,"NF",6,5,10,22,32,"NF",6,5,10,22,32,"NF",6,5,8,22,30,"NF",6,5,7,23,30,"NF",6,5,7,21,28,"NF",6,5,6,22,28,"NF",6,5,6,21,27,"NF",6,5,6,20,26,"NF",6,5,6,19,25,"NF",6,5,6,18,24,"NF",6,5,6,18,24,"NF",7,5,5,17,22,"NF",7,5,5,17,22
"91","Kenya","PF",4,4,18,30,"PF",3,3,26,39,"PF",3,3,26,40,"PF",3,3,26,40,66,"PF",3,3,25,39,64,"PF",4,3,20,38,58,"PF",4,3,19,35,54,"PF",4,4,19,33,52,"PF",4,3,21,35,56,"PF",4,3,21,36,57,"PF",4,4,21,34,55,"PF",4,4,22,31,53,"PF",4,4,22,29,51,"PF",4,4,22,29,51,"PF",4,4,22,29,51,"PF",4,4,19,29,48
"92","Kiribati","F",1,1,37,54,"F",1,1,37,56,"F",1,1,37,56,"F",1,1,38,55,93,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,36,55,91,"F",1,1,37,55,92,"F",1,1,38,55,93
"93","Kosovo*","PF",5,5,12,22,"PF",5,5,12,23,"NF",6,5,9,19,"PF",6,5,10,19,29,"PF",6,5,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Kuwait","PF",4,5,18,24,"PF",4,5,18,24,"PF",4,5,18,24,"PF",4,5,18,25,43,"PF",4,4,19,27,46,"PF",4,4,19,27,46,"PF",4,4,19,27,46,"PF",4,4,19,27,46,"PF",4,5,19,25,44,"PF",4,5,19,25,44,"PF",5,5,17,24,41,"PF",5,5,16,23,39,"PF",5,5,14,23,37,"PF",5,5,13,23,36,"PF",5,5,13,23,36,"PF",5,5,13,23,36
"95","Kyrgyzstan","NF",6,5,11,22,"NF",6,5,11,24,"NF",6,5,10,25,"PF",5,4,16,31,47,"PF",5,4,16,30,46,"PF",5,4,16,29,45,"PF",5,4,13,26,39,"NF",6,5,11,25,36,"PF",5,5,13,24,37,"PF",5,5,16,25,41,"PF",5,5,14,25,39,"PF",5,5,14,25,39,"PF",5,5,14,24,38,"PF",5,5,14,24,38,"PF",5,5,13,24,37,"PF",5,5,12,25,37
"96","Laos","NF",7,6,3,9,"NF",7,6,2,11,"NF",7,6,1,12,"NF",7,6,1,12,13,"NF",7,6,1,12,13,"NF",7,6,1,12,13,"NF",7,6,1,12,13,"NF",7,6,1,12,13,"NF",7,6,0,12,12,"NF",7,6,0,12,12,"NF",7,6,0,11,11,"NF",7,6,1,11,12,"NF",7,6,1,11,12,"NF",7,6,1,11,12,"NF",7,6,1,11,12,"NF",7,6,1,11,12
"97","Latvia","F",1,2,36,50,"F",1,2,36,50,"F",1,2,36,51,"F",1,1,36,53,89,"F",1,1,36,53,89,"F",2,1,35,53,88,"F",2,1,34,53,87,"F",2,1,33,53,86,"F",2,2,33,52,85,"F",2,2,33,51,84,"F",2,2,33,51,84,"F",2,2,33,51,84,"F",2,2,34,51,85,"F",2,2,35,51,86,"F",1,2,36,51,87,"F",2,2,35,52,87
"98","Lebanon","NF",6,5,6,24,"NF",6,5,6,24,"NF",6,5,8,25,"PF",5,4,16,30,46,"PF",5,4,17,34,51,"PF",5,4,15,34,49,"PF",5,4,17,34,51,"PF",5,3,17,35,52,"PF",5,3,17,35,52,"PF",5,4,17,34,51,"PF",5,4,17,32,49,"PF",5,4,16,32,48,"PF",5,4,14,30,44,"PF",5,4,13,30,43,"PF",5,4,14,30,44,"PF",6,4,11,32,43
"99","Lesotho","F",2,3,30,41,"F",2,3,31,41,"F",2,3,31,41,"F",2,3,31,43,74,"F",2,3,30,43,73,"F",2,3,30,41,71,"F",2,3,30,41,71,"PF",3,3,29,41,70,"PF",3,3,29,41,70,"PF",3,3,28,41,69,"F",2,3,31,41,72,"F",2,3,31,41,72,"F",2,3,30,41,71,"PF",3,3,28,39,67,"PF",3,3,27,37,64,"PF",3,3,27,37,64
"100","Liberia","NF",6,6,9,13,"NF",6,6,6,16,"PF",5,4,12,28,"PF",4,4,23,33,56,"PF",3,4,24,33,57,"PF",3,4,25,34,59,"PF",3,4,25,34,59,"PF",3,4,24,34,58,"PF",3,4,24,34,58,"PF",3,4,26,34,60,"PF",3,4,26,34,60,"PF",3,4,26,33,59,"PF",3,4,26,30,56,"PF",3,4,28,33,61,"PF",3,4,28,34,62,"PF",3,3,27,35,62
"101","Libya","NF",7,7,2,6,"NF",7,7,2,5,"NF",7,7,1,6,"NF",7,7,1,6,7,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,7,1,7,8,"NF",7,6,3,14,17,"PF",4,5,22,21,43,"PF",4,5,21,20,41,"NF",6,6,8,15,23,"NF",6,6,6,14,20,"NF",7,6,3,10,13,"NF",7,6,1,8,9
"102","Liechtenstein","F",1,1,40,58,"F",1,1,40,59,"F",1,1,40,59,"F",1,1,40,59,99,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",1,1,39,59,98,"F",2,1,33,58,91,"F",2,1,33,57,90
"103","Lithuania","F",1,2,38,51,"F",1,2,38,52,"F",2,2,35,52,"F",1,1,36,54,90,"F",1,1,36,54,90,"F",1,1,36,54,90,"F",1,1,37,54,91,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,37,53,90,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91,"F",1,1,38,53,91
"104","Luxembourg","F",1,1,44,57,"F",1,1,40,60,"F",1,1,40,60,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,40,60,100,"F",1,1,39,60,99,"F",1,1,38,60,98,"F",1,1,38,60,98,"F",1,1,38,60,98,"F",1,1,38,60,98
"105","Macedonia","PF",3,3,27,37,"PF",3,3,27,38,"PF",3,3,26,37,"PF",3,3,25,36,61,"PF",3,3,24,36,60,"PF",3,3,24,36,60,"PF",3,3,24,36,60,"PF",3,3,25,38,63,"PF",3,3,26,40,66,"PF",3,3,26,39,65,"PF",3,3,26,38,64,"PF",3,3,26,38,64,"PF",4,3,23,37,60,"PF",4,3,22,35,57,"PF",4,3,21,36,57,"PF",4,3,21,37,58
"106","Madagascar","PF",3,4,24,34,"PF",3,3,25,37,"PF",3,3,24,37,"PF",3,3,24,36,60,"PF",4,3,23,36,59,"PF",4,3,22,36,58,"PF",4,3,22,36,58,"PF",6,4,9,32,41,"PF",6,4,7,32,39,"PF",6,4,7,32,39,"PF",6,4,7,28,35,"PF",5,4,15,28,43,"PF",4,4,22,30,52,"PF",3,4,24,32,56,"PF",3,4,24,32,56,"PF",3,4,24,32,56
"107","Malawi","PF",4,4,23,32,"PF",3,4,25,32,"PF",4,4,23,34,"PF",4,4,23,34,57,"PF",4,3,23,35,58,"PF",4,4,23,34,57,"PF",4,4,23,34,57,"PF",3,4,26,34,60,"PF",3,4,26,34,60,"PF",3,4,25,32,57,"PF",3,4,26,34,60,"PF",3,4,26,34,60,"PF",3,4,27,34,61,"PF",3,3,27,37,64,"PF",3,3,26,37,63,"PF",3,3,26,37,63
"108","Malaysia","PF",5,5,17,25,"PF",5,4,17,28,"PF",4,4,19,30,"PF",4,4,19,31,50,"PF",4,4,19,29,48,"PF",4,4,19,27,46,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,20,29,49,"PF",4,4,20,28,48,"PF",4,4,19,28,47,"PF",4,4,19,27,46,"PF",4,4,18,27,45,"PF",4,4,18,26,44,"PF",4,4,18,27,45
"109","Maldives","NF",6,5,9,22,"NF",6,5,9,23,"NF",6,5,9,22,"NF",6,5,9,22,31,"NF",6,5,11,23,34,"NF",6,5,11,25,36,"PF",4,4,20,28,48,"PF",3,4,25,32,57,"PF",3,4,24,32,56,"PF",3,4,24,32,56,"PF",5,4,17,29,46,"PF",4,4,19,29,48,"PF",4,4,20,28,48,"PF",4,5,19,24,43,"PF",5,5,17,23,40,"PF",5,5,14,21,35
